"customer_name","gender","age","customer_id","past_3_years_bike_related_purchases","DOB","job_title","job_industry_category","wealth_segment","owns_car","tenure"
"Keeley Hawsby","F",45,"1233",17,1978-07-07,NA,"Retail","Affluent Customer","Yes",16
"Elihu Cudworth","M",45,"1732",95,1978-07-07,"Desktop Support Technician","Argiculture","Mass Customer","Yes",10
"Jannelle Ort","F",45,"1617",97,1978-07-06,"Compensation Analyst","Financial Services","Affluent Customer","No",10
"Lavinia Niess","F",45,"2619",62,1978-07-05,"Web Designer I","Financial Services","High Net Worth","Yes",14
"Aron Karlsen","M",45,"2419",96,1978-07-04,"Physical Therapy Assistant","Property","High Net Worth","No",9
"Augusta Henryson","F",45,"3193",6,1978-07-04,"Web Designer IV","Property","High Net Worth","No",7
"Falkner Jochens","M",45,"1960",86,1978-07-03,"Software Engineer II",NA,"Mass Customer","Yes",10
"Eadmund Braycotton","M",45,"3160",87,1978-07-03,"Mechanical Systems Engineer","IT","Mass Customer","No",21
"Marilee Oosthout de Vree","F",45,"446",73,1978-07-02,"Tax Accountant","IT","Affluent Customer","Yes",4
"Correy Loynes","M",45,"3116",16,1978-06-29,NA,"Health","Mass Customer","No",7
"Alvan Phillput","M",45,"3819",62,1978-06-29,"Staff Accountant I",NA,"High Net Worth","No",3
"Corina Shadwick","F",45,"2307",57,1978-06-28,"Desktop Support Technician","Retail","High Net Worth","Yes",13
"Xever Baldetti","M",45,"570",14,1978-06-24,"VP Product Management","Financial Services","Mass Customer","Yes",15
"Ellie Prester","F",45,"1378",36,1978-06-18,NA,"Property","Affluent Customer","Yes",7
"Gar Barnewille","M",45,"3145",17,1978-06-17,"Paralegal","Financial Services","High Net Worth","Yes",7
"Asher","M",45,"3885",55,1978-06-17,"Actuary","Financial Services","Mass Customer","Yes",8
"Dukie Asson","M",45,"3682",94,1978-06-15,"GIS Technical Architect","Financial Services","Mass Customer","Yes",11
"Brandyn Morrid","M",45,"392",38,1978-06-14,"Safety Technician I","Property","Mass Customer","No",13
"Trixi Ginnelly","F",45,"26",12,1978-06-10,"Editor","Financial Services","Mass Customer","Yes",16
"Idell Belderson","F",45,"896",25,1978-06-10,"VP Sales",NA,"Mass Customer","No",15
"Brennen Mularkey","M",45,"3937",81,1978-06-07,"Tax Accountant","Property","Mass Customer","No",12
"Odille Panketh","F",45,"104",40,1978-06-06,"Automation Specialist II","Health","Mass Customer","Yes",9
"Brita Plant","F",45,"1181",2,1978-06-06,"Tax Accountant","Argiculture","Mass Customer","No",8
"Barton Baudts","M",45,"1205",38,1978-06-05,"Business Systems Development Analyst","Manufacturing","Affluent Customer","No",13
"Luisa McGlue","F",45,"1953",23,1978-06-05,"Paralegal","Financial Services","High Net Worth","No",12
"Alecia Crosse","F",45,"545",43,1978-06-04,"Project Manager","Health","Mass Customer","Yes",18
"Gardiner Nutley","M",45,"648",86,1978-06-04,"Accountant II","Financial Services","Mass Customer","Yes",9
"Steward Beedham","M",45,"1238",24,1978-06-01,"Graphic Designer",NA,"Affluent Customer","Yes",6
"Pietrek Crowe","M",45,"1622",44,1978-05-30,"Senior Quality Engineer",NA,"High Net Worth","No",16
"Der Blatcher","M",45,"2100",34,1978-05-30,"Marketing Assistant","IT","Mass Customer","No",14
"Horatius Dufton","M",45,"2053",7,1978-05-28,NA,"Financial Services","Affluent Customer","Yes",11
"Michal Woltering","M",45,"2699",93,1978-05-25,"Account Representative IV","Manufacturing","Affluent Customer","Yes",16
"Aldus Kenningley","M",45,"3519",16,1978-05-21,"Software Consultant","Manufacturing","Mass Customer","Yes",11
"Lana Druce","F",45,"2149",26,1978-05-19,"Professor",NA,"High Net Worth","No",6
"Darline Alpes","F",45,"3273",72,1978-05-17,"General Manager","Entertainment","Mass Customer","No",11
"Dare Wasling","M",45,"1850",4,1978-05-16,"Biostatistician II","Manufacturing","High Net Worth","No",7
"Tisha Gibbings","F",45,"3557",79,1978-05-12,NA,"Health","Affluent Customer","No",18
"Adelbert Doelle","M",45,"1863",10,1978-05-11,"VP Product Management","Telecommunications","High Net Worth","No",20
"Everard","M",45,"1727",43,1978-05-10,"Assistant Media Planner","Entertainment","High Net Worth","No",6
"Alessandro Casley","M",45,"3097",2,1978-05-09,"Actuary","Financial Services","Affluent Customer","Yes",19
"Lucina Metcalf","F",45,"1206",13,1978-05-07,"Paralegal","Financial Services","Mass Customer","No",13
"Titos Scanes","M",45,"3177",93,1978-05-07,"Database Administrator IV",NA,"Affluent Customer","No",6
"Lucine Virgin","F",45,"3422",38,1978-05-06,"Professor","Manufacturing","Mass Customer","No",5
"Cinnamon Batram","F",45,"3941",27,1978-05-03,"Technical Writer","Manufacturing","Mass Customer","Yes",11
"Harry","M",45,"1266",68,1978-05-02,"Human Resources Manager","Health","Mass Customer","Yes",10
"Henderson Sloey","M",45,"2925",36,1978-05-02,"Business Systems Development Analyst","Financial Services","Affluent Customer","Yes",19
"Garek De la Barre","M",45,"1332",87,1978-05-01,"Technical Writer",NA,"Mass Customer","Yes",12
"Emmalee Sketcher","F",45,"498",58,1978-04-30,"VP Sales","Manufacturing","High Net Worth","Yes",10
"Gaye Steutly","F",45,"1762",49,1978-04-30,"Research Assistant II","Health","Mass Customer","Yes",18
"Gabrielle Giraudot","F",45,"789",69,1978-04-28,"Geological Engineer","Manufacturing","Affluent Customer","Yes",14
"Pablo Small","M",45,"80",11,1978-04-24,"Data Coordiator","Entertainment","Mass Customer","No",13
"Eula Bruni","F",45,"747",91,1978-04-24,"Database Administrator II",NA,"Mass Customer","No",7
"Jessi Aldwich","F",45,"2935",41,1978-04-23,NA,"Manufacturing","Mass Customer","No",17
"Nefen Ferriere","M",45,"1258",89,1978-04-21,"Geological Engineer","Manufacturing","Mass Customer","No",6
"Tiphany Bonnier","F",45,"585",66,1978-04-20,"Pharmacist","Health","Mass Customer","Yes",10
"Selby Cabbell","M",45,"1364",99,1978-04-20,"Junior Executive","Manufacturing","Mass Customer","No",21
"Morganne Smitham","F",45,"2723",71,1978-04-20,"Associate Professor","Manufacturing","Mass Customer","Yes",18
"Lillis Dobrowolski","F",45,"3967",90,1978-04-18,"Senior Editor","Manufacturing","Affluent Customer","No",7
"Carolan Velez","F",45,"3590",32,1978-04-16,NA,"Manufacturing","Mass Customer","Yes",19
"Inger Eskell","F",45,"248",76,1978-04-15,"Clinical Specialist","Health","Affluent Customer","Yes",12
"Andreas Bazely","M",45,"1578",60,1978-04-14,NA,"Health","High Net Worth","Yes",11
"Maureene Kingstne","F",45,"2144",12,1978-04-11,"Office Assistant IV","Property","Mass Customer","Yes",9
"Grayce Aumerle","F",45,"2545",33,1978-04-11,"Tax Accountant","Manufacturing","Mass Customer","Yes",16
"Briggs Mower","M",45,"3554",34,1978-04-06,"GIS Technical Architect","IT","Mass Customer","Yes",16
"Joachim Amer","M",45,"2340",33,1978-03-29,"Research Assistant IV","Health","Mass Customer","Yes",16
"Ollie Restorick","M",45,"3354",18,1978-03-27,NA,"Manufacturing","Mass Customer","Yes",11
"Laureen Blower","F",45,"2039",38,1978-03-26,"Senior Developer","IT","High Net Worth","Yes",7
"Gerek Yve","M",45,"64",73,1978-03-25,"Legal Assistant","IT","High Net Worth","No",4
"Tore Doerr","M",45,"2689",17,1978-03-23,"Senior Developer",NA,"Mass Customer","No",10
"Dotty Maylott","F",45,"745",84,1978-03-22,NA,"Manufacturing","Mass Customer","Yes",13
"Ally Folliott","F",45,"1195",0,1978-03-22,"VP Marketing","Telecommunications","Mass Customer","No",18
"Vernen Bourgaize","M",45,"2316",79,1978-03-21,"Computer Systems Analyst IV","Financial Services","Affluent Customer","Yes",11
"Hubie Keld","M",45,"2871",49,1978-03-20,"Assistant Media Planner","Entertainment","High Net Worth","Yes",15
"Jabez Glasspoole","M",45,"1669",74,1978-03-18,"VP Accounting","Financial Services","High Net Worth","Yes",21
"Brice Martinuzzi","M",45,"2990",65,1978-03-16,"GIS Technical Architect","Argiculture","High Net Worth","No",8
"Urbanus Fuxman","M",45,"3865",49,1978-03-15,NA,"Manufacturing","Mass Customer","Yes",11
"Silvio Henrichs","M",45,"2065",66,1978-03-13,"Technical Writer","Retail","Mass Customer","Yes",12
"Hakeem Bernardinelli","M",45,"3194",38,1978-03-11,"Physical Therapy Assistant","Manufacturing","Mass Customer","No",11
"Shamus Fyndon","M",45,"760",46,1978-03-02,"Assistant Professor",NA,"Mass Customer","Yes",18
"Gertie Chaim","F",45,"1173",58,1978-03-02,"Statistician IV","Retail","High Net Worth","No",16
"Carroll Cobbin","M",45,"1239",9,1978-02-28,NA,NA,"Mass Customer","Yes",17
"Lindsay Stollsteiner","M",45,"2400",73,1978-02-28,"Office Assistant III","Property","Mass Customer","Yes",22
"Lem Clamp","M",45,"3695",33,1978-02-27,"Account Coordinator","Entertainment","Affluent Customer","Yes",3
"Mara Rosterne","F",45,"2256",28,1978-02-26,"Marketing Manager","Retail","Mass Customer","No",15
"Berri Farr","F",45,"1471",88,1978-02-24,NA,"Financial Services","Mass Customer","No",15
"Deanne Delacour","F",45,"3162",76,1978-02-24,"Media Manager IV","Argiculture","Mass Customer","Yes",15
"Waldon Digges","M",45,"3878",99,1978-02-24,"Programmer III",NA,"Mass Customer","No",9
"Randie Arnowitz","F",45,"1324",88,1978-02-22,"Web Designer III","Manufacturing","Mass Customer","No",11
"Cathe Lorriman","F",45,"718",38,1978-02-18,"Engineer I","Manufacturing","Mass Customer","Yes",7
"Verla Alven","F",45,"199",61,1978-02-13,"Junior Executive","Health","Mass Customer","Yes",21
"Dorian Drinkel","F",45,"905",41,1978-02-11,"Safety Technician II","Manufacturing","Affluent Customer","No",12
"Norma Blackbourn","F",45,"726",69,1978-02-10,"Information Systems Manager","Health","Mass Customer","Yes",10
"Ardis Ramelet","F",45,"2071",69,1978-02-07,NA,NA,"Mass Customer","No",10
"Bobinette Stanaway","F",45,"1847",68,1978-02-04,"Executive Secretary","Manufacturing","Mass Customer","No",6
"Ronna Wickersham","F",45,"2058",99,1978-02-04,"Database Administrator I","Argiculture","High Net Worth","No",7
"Rosana Emmatt","F",45,"2498",70,1978-02-02,"Software Test Engineer III","Retail","High Net Worth","No",8
"Hadria Pizer","F",45,"3465",71,1978-02-01,"Chemical Engineer","Manufacturing","High Net Worth","Yes",7
"Melonie Zisneros","F",45,"634",35,1978-01-30,"Speech Pathologist","Manufacturing","Mass Customer","No",15
"Pepito Lamming","M",45,"884",11,1978-01-30,"Web Designer IV","Property","Mass Customer","No",17
"Glynnis Sailor","F",45,"1103",76,1978-01-30,"Financial Advisor","Financial Services","High Net Worth","Yes",20
"Analiese Grimsditch","F",45,"1663",68,1978-01-30,"VP Quality Control","Property","High Net Worth","Yes",9
"Damien Bartczak","M",45,"2124",17,1978-01-30,NA,"Retail","High Net Worth","No",18
"Alidia Petyankin","F",45,"2157",52,1978-01-30,"Community Outreach Specialist","Property","Mass Customer","No",19
"Krystle Jovicevic","F",45,"2463",54,1978-01-30,"Pharmacist","Health","Mass Customer","No",12
"Roma Finlater","M",45,"3892",19,1978-01-29,"Staff Scientist",NA,"Mass Customer","Yes",15
"Fredrika Kleinmintz","F",45,"3146",79,1978-01-28,"Project Manager","Property","Mass Customer","No",15
"Freemon Perago","M",45,"1394",50,1978-01-27,NA,"Health","Mass Customer","Yes",8
"Madelaine Siegertsz","F",45,"1579",40,1978-01-27,"Desktop Support Technician","Financial Services","Affluent Customer","Yes",17
"Dennie Eunson","M",45,"424",77,1978-01-25,"Research Nurse","Health","High Net Worth","No",9
"Nert Muglestone","F",45,"1904",60,1978-01-25,"Technical Writer","IT","High Net Worth","Yes",14
"Horacio Peyntue","M",45,"1280",71,1978-01-24,"Marketing Assistant","Manufacturing","High Net Worth","Yes",15
"Rea Hasser","F",45,"76",20,1978-01-23,"Statistician II","Retail","High Net Worth","Yes",18
"Tatiania O'Kane","F",45,"409",84,1978-01-23,"Executive Secretary","Health","Mass Customer","Yes",13
"Max Gronaver","F",45,"980",19,1978-01-23,"Registered Nurse","Health","Mass Customer","No",8
"Guthrie MacAne","M",45,"2011",68,1978-01-22,"VP Sales","Manufacturing","High Net Worth","Yes",12
"Darby Shailer","F",45,"1852",22,1978-01-21,"Research Associate","Manufacturing","Affluent Customer","No",18
"Kaleb Eslemont","M",45,"3085",91,1978-01-21,"Accountant IV",NA,"Affluent Customer","No",5
"Karney Labrone","M",45,"2336",59,1978-01-19,"Dental Hygienist","Health","Affluent Customer","No",17
"Pascal Veronique","M",45,"1845",34,1978-01-16,"General Manager","Financial Services","Mass Customer","No",6
"Stormie Smyth","F",45,"1827",92,1978-01-15,"Sales Representative","Retail","Affluent Customer","Yes",18
"Francesco Wasson","M",45,"1582",32,1978-01-14,"Office Assistant III","Property","Mass Customer","No",4
"Tome Tyt","M",45,"844",13,1978-01-13,"Nurse Practicioner","Financial Services","High Net Worth","No",9
"Elton Piggford","M",45,"2487",92,1978-01-13,"Operator","IT","Affluent Customer","Yes",14
"Adaline Hayles","F",45,"1468",37,1978-01-10,"Financial Advisor","Financial Services","Mass Customer","No",22
"Conway","M",45,"3927",29,1978-01-07,"Electrical Engineer","Manufacturing","Mass Customer","Yes",7
"Winna Brusle","F",45,"3065",88,1978-01-05,"Recruiter","Financial Services","High Net Worth","Yes",13
"Frederico Spearman","M",45,"3289",43,1978-01-04,"Assistant Manager","Property","Mass Customer","No",12
"Shay Rayer","M",45,"3923",90,1978-01-04,"Product Engineer","Financial Services","High Net Worth","No",16
"Dennie L' Anglois","M",45,"1079",70,1978-01-03,"Nurse Practicioner","Manufacturing","Mass Customer","No",18
"Pippo Cator","M",46,"3662",79,1977-12-30,"Community Outreach Specialist","Retail","Mass Customer","No",15
"Delores Ashcroft","F",46,"2874",97,1977-12-28,"Nuclear Power Engineer","Manufacturing","Affluent Customer","No",18
"Worden Fossitt","M",46,"862",83,1977-12-27,"Information Systems Manager","Argiculture","High Net Worth","Yes",16
"Kara-lynn Bims","F",46,"3444",75,1977-12-25,"Nurse Practicioner","Manufacturing","Affluent Customer","No",7
"Christi Gilluley","F",46,"3596",57,1977-12-25,"Executive Secretary","Retail","Mass Customer","No",20
"Mala","F",46,"251",88,1977-12-24,"VP Sales","Financial Services","Affluent Customer","Yes",10
"Cordie Petrelli","M",46,"262",97,1977-12-23,NA,"Health","High Net Worth","Yes",10
"Tito Brash","M",46,"1799",81,1977-12-23,NA,NA,"Affluent Customer","No",17
"Stavros Hazelby","M",46,"2092",14,1977-12-22,"Safety Technician IV","Manufacturing","High Net Worth","No",18
"Gertruda Shrimpling","F",46,"2230",53,1977-12-22,NA,NA,"Mass Customer","No",19
"Alexandra Kroch","F",46,"3968",99,1977-12-22,NA,"Property","High Net Worth","No",22
"Louisette Cullimore","F",46,"2662",53,1977-12-21,"Accountant IV","Property","Mass Customer","Yes",16
"Burk Walczak","M",46,"3382",90,1977-12-17,"Business Systems Development Analyst",NA,"High Net Worth","No",10
"Arabelle Nevill","F",46,"3904",15,1977-12-17,"Sales Representative","Retail","Affluent Customer","No",7
"Sheena O'Duggan","F",46,"440",46,1977-12-16,"Business Systems Development Analyst","Telecommunications","Mass Customer","No",10
"Leisha Signoret","F",46,"1347",14,1977-12-16,"Help Desk Operator","Manufacturing","Mass Customer","Yes",14
"Amalee Sanderson","F",46,"3487",4,1977-12-15,"Analyst Programmer","Health","High Net Worth","No",18
"Jay Prue","M",46,"2618",85,1977-12-14,"Administrative Assistant IV",NA,"Mass Customer","No",4
"Carmela Jesper","F",46,"350",47,1977-12-09,"Clinical Specialist","Health","Mass Customer","Yes",9
"Caryl Clara","M",46,"1625",20,1977-12-09,"Information Systems Manager","Property","Mass Customer","Yes",10
"Jedd Spiby","M",46,"264",31,1977-12-07,"Technical Writer","Health","Mass Customer","No",11
"Randy Duligall","F",46,"3745",90,1977-12-05,"Dental Hygienist","Health","Mass Customer","Yes",20
"Clyve Starmont","M",46,"2819",63,1977-12-04,"Executive Secretary","Manufacturing","Affluent Customer","No",14
"Rafe Antoniak","M",46,"3176",60,1977-12-04,"Physical Therapy Assistant",NA,"Affluent Customer","No",16
"Kim Skpsey","F",46,"24",55,1977-12-03,"Research Assistant I","Argiculture","Mass Customer","Yes",15
"Shirleen Shelsher","F",46,"2790",16,1977-12-01,"Account Representative IV","Retail","High Net Worth","Yes",20
"Alejandro Shakelade","M",46,"3458",35,1977-12-01,"Web Developer III","Manufacturing","High Net Worth","Yes",19
"Kevan Kubal","M",46,"695",36,1977-11-30,"Engineer II","Health","High Net Worth","No",11
"Shaun Murphey","M",46,"832",30,1977-11-30,"Research Assistant IV","Retail","Mass Customer","No",14
"Dawn Yakovitch","F",46,"2654",83,1977-11-28,"Tax Accountant","Telecommunications","Mass Customer","No",13
"Vaughan McCromley","M",46,"761",12,1977-11-27,"Media Manager II","Health","Affluent Customer","Yes",4
"Lek Viel","M",46,"2968",38,1977-11-25,"Human Resources Assistant III","Retail","High Net Worth","No",16
"Cherice Wehner","F",46,"3934",38,1977-11-25,"Sales Associate","Manufacturing","Mass Customer","Yes",16
"Linell","F",46,"3447",43,1977-11-23,NA,"Financial Services","High Net Worth","No",17
"Julee Janovsky","F",46,"285",3,1977-11-19,"Community Outreach Specialist","Manufacturing","Mass Customer","No",12
"Witty Lauthian","M",46,"1665",48,1977-11-18,"Quality Engineer","Telecommunications","Mass Customer","No",11
"Anna Warmington","F",46,"3940",9,1977-11-18,"Sales Representative","Retail","Mass Customer","No",9
"Filberte Godmer","M",46,"1539",3,1977-11-17,"Account Executive",NA,"Mass Customer","Yes",16
"Emmerich Tinkler","M",46,"1274",12,1977-11-16,"Mechanical Systems Engineer","Manufacturing","Mass Customer","No",20
"Emmy Lumbly","M",46,"1304",23,1977-11-16,"Administrative Assistant III",NA,"High Net Worth","No",11
"Rhetta Kupker","F",46,"994",62,1977-11-14,"Librarian","Entertainment","Affluent Customer","Yes",5
"Kerby Nassie","M",46,"3538",19,1977-11-14,"Marketing Manager","Health","Mass Customer","No",8
"Lisle Yokel","M",46,"1831",58,1977-11-13,"Social Worker","Health","Mass Customer","No",15
"Bondie Letty","M",46,"226",96,1977-11-11,"Database Administrator IV","Manufacturing","Mass Customer","No",20
"Holmes Benkin","M",46,"1507",97,1977-11-10,NA,"Manufacturing","High Net Worth","Yes",22
"Lurette Stonnell","F",46,"36",33,1977-11-09,"VP Quality Control",NA,"Affluent Customer","No",22
"Crawford Dreini","M",46,"1340",16,1977-11-05,"Statistician I",NA,"High Net Worth","No",18
"Sherman Gullen","M",46,"1840",22,1977-11-04,"Staff Scientist","Argiculture","High Net Worth","Yes",20
"Paddie Grunder","M",46,"1962",13,1977-11-01,"Sales Representative","Retail","Mass Customer","Yes",22
"Margette Vidyapin","F",46,"2796",52,1977-11-01,"Web Designer II","Manufacturing","Mass Customer","No",9
"Shelden Rodenburg","M",46,"3733",70,1977-11-01,NA,NA,"Mass Customer","No",11
"Augy Rudall","M",46,"3027",83,1977-10-30,"Research Nurse","Health","Mass Customer","Yes",5
"Josey Alves","F",46,"3371",56,1977-10-30,"Analyst Programmer","Retail","Mass Customer","No",17
"Rahal Woodman","F",46,"1674",97,1977-10-26,"Civil Engineer","Manufacturing","High Net Worth","No",20
"Karalee Tremlett","F",46,"2403",41,1977-10-25,"Technical Writer","Financial Services","Affluent Customer","No",12
"Matthew Petschelt","M",46,"650",81,1977-10-24,"Assistant Manager","Health","Mass Customer","No",13
"Nevsa Washtell","F",46,"809",83,1977-10-23,"Biostatistician III","Health","Mass Customer","No",18
"Avrom Clougher","M",46,"1479",25,1977-10-20,"Help Desk Technician","Argiculture","Mass Customer","No",21
"Neda Longfellow","F",46,"1869",73,1977-10-19,"Geologist IV","Financial Services","High Net Worth","Yes",9
"Ottilie Filkov","F",46,"2977",28,1977-10-16,"Community Outreach Specialist",NA,"Affluent Customer","No",18
"Marve Pryn","M",46,"261",74,1977-10-15,"Structural Engineer",NA,"Mass Customer","No",8
"Siward Corradino","M",46,"2257",27,1977-10-13,"Librarian","Entertainment","Mass Customer","No",15
"Standford Sauter","M",46,"2947",75,1977-10-13,NA,"Manufacturing","Mass Customer","No",11
"Adriana Cullerne","F",46,"1734",88,1977-10-10,"Community Outreach Specialist","Retail","Mass Customer","Yes",11
"Kathe Heatlie","F",46,"2455",64,1977-10-09,NA,"Manufacturing","Mass Customer","No",21
"Waverly Creebo","M",46,"2177",35,1977-10-08,"Social Worker","Health","Mass Customer","No",9
"Dale Hursey","F",46,"1678",20,1977-10-07,NA,"Financial Services","High Net Worth","Yes",13
"Mada Martinho","F",46,"2001",21,1977-10-06,"Analog Circuit Design manager","Manufacturing","Mass Customer","Yes",3
"Benoit","M",46,"3962",17,1977-10-06,"Project Manager","Argiculture","High Net Worth","Yes",14
"Myrtia Paschke","F",46,"1977",28,1977-10-04,NA,"Manufacturing","Mass Customer","Yes",5
"Elvis Rixon","M",46,"1021",16,1977-10-02,"Mechanical Systems Engineer","Retail","High Net Worth","No",7
"Xylia Lange","F",46,"1051",34,1977-09-29,"Help Desk Technician","Property","High Net Worth","Yes",14
"Gerri Heliet","M",46,"2278",11,1977-09-25,"Product Engineer","Health","Affluent Customer","Yes",8
"Duffy Godbehere","M",46,"2951",13,1977-09-25,"Community Outreach Specialist","Financial Services","High Net Worth","No",12
"Sully Dorling","M",46,"1928",2,1977-09-24,"Chemical Engineer","Manufacturing","High Net Worth","Yes",13
"Elsy Springell","F",46,"2242",25,1977-09-24,"VP Sales",NA,"Mass Customer","Yes",21
"Wally Rebbeck","M",46,"1795",40,1977-09-21,"Internal Auditor","Manufacturing","Affluent Customer","No",7
"Alexa Simanek","F",46,"2949",68,1977-09-21,NA,"Telecommunications","Mass Customer","No",17
"Avery Adamov","M",46,"2903",47,1977-09-20,"Operator","Manufacturing","Affluent Customer","Yes",9
"Gary Eager","M",46,"1957",1,1977-09-19,"Accountant IV","Property","Affluent Customer","No",4
"Jim Shoppee","M",46,"2372",14,1977-09-10,"Clinical Specialist","Health","Affluent Customer","No",10
"Hirsch Peele","M",46,"2570",13,1977-09-10,"Professor","Financial Services","Mass Customer","Yes",18
"Ivory Roscam","F",46,"1647",21,1977-09-09,NA,"Financial Services","High Net Worth","Yes",17
"Granger Tuftin","M",46,"962",49,1977-09-07,"VP Product Management",NA,"High Net Worth","Yes",17
"Jacky Jerosch","M",46,"1209",40,1977-09-06,"Senior Developer","Property","High Net Worth","Yes",11
"Carver Saturley","M",46,"1545",34,1977-09-06,"Associate Professor","Health","Mass Customer","Yes",15
"Veronike Clampett","F",46,"2043",67,1977-09-05,"Software Consultant",NA,"Mass Customer","No",7
"Brooke Alastair","M",46,"2644",72,1977-09-03,"VP Sales","IT","Mass Customer","No",12
"Ivan Blackhall","M",46,"1136",72,1977-08-31,"Executive Secretary","Property","High Net Worth","No",7
"Heinrik","M",46,"744",54,1977-08-30,"Graphic Designer","Manufacturing","Affluent Customer","Yes",14
"Roy Jone","M",46,"2387",33,1977-08-30,"Nurse",NA,"High Net Worth","Yes",9
"Reyna Braizier","F",46,"898",53,1977-08-28,"General Manager","Financial Services","Affluent Customer","No",16
"Vail Southernwood","M",46,"1901",40,1977-08-22,"Budget/Accounting Analyst I","Argiculture","Affluent Customer","No",8
"Diannne Neissen","F",46,"2202",46,1977-08-19,"Physical Therapy Assistant","Financial Services","Affluent Customer","Yes",8
"Land Bangley","M",46,"2595",56,1977-08-17,"Nurse Practicioner",NA,"Affluent Customer","Yes",8
"Margaret McSperrin","F",46,"3805",52,1977-08-16,"Software Test Engineer II","Property","Affluent Customer","No",4
"Karin Burkill","F",46,"561",99,1977-08-15,"Tax Accountant",NA,"Mass Customer","No",12
"Finn Dahlman","M",46,"619",39,1977-08-14,"Speech Pathologist","Property","Mass Customer","No",20
"Norbert Gotcher","M",46,"1006",15,1977-08-10,"Quality Control Specialist","Telecommunications","Affluent Customer","Yes",19
"Harv Pavey","M",46,"2582",98,1977-08-10,"Director of Sales","Health","Mass Customer","No",7
"Teddi Adcocks","F",46,"3196",11,1977-08-04,"Engineer IV","Health","Mass Customer","No",8
"Amalea Elcy","F",46,"3891",61,1977-08-01,"Staff Accountant II","Retail","High Net Worth","Yes",7
"Drake Riguard","M",46,"2401",7,1977-07-31,"Staff Scientist",NA,"Mass Customer","Yes",15
"Ahmed","M",46,"1453",54,1977-07-30,"Computer Systems Analyst I","Health","High Net Worth","No",13
"Lorilyn Walshe","F",46,"153",73,1977-07-28,"Assistant Media Planner","Entertainment","Mass Customer","Yes",12
"Constantin Rodrigues","M",46,"1656",59,1977-07-22,"Chief Design Engineer","Financial Services","Mass Customer","Yes",7
"Gal Waleran","M",46,"3001",48,1977-07-22,"Engineer IV","Argiculture","Mass Customer","No",20
"Sauveur Edmands","M",46,"3238",23,1977-07-20,"Executive Secretary","Retail","Mass Customer","No",14
"Isidro Cypler","M",46,"128",73,1977-07-17,"Systems Administrator III","Property","Mass Customer","Yes",12
"Randee Penchen","F",46,"3969",93,1977-07-16,"Accountant II","Manufacturing","Affluent Customer","Yes",10
"Jayne Gawthrope","F",46,"3649",66,1977-07-12,"Office Assistant II","Property","Mass Customer","Yes",12
"Natalee Comport","F",46,"1387",33,1977-07-11,"Chemical Engineer","Manufacturing","Mass Customer","Yes",4
"Barry","M",46,"3756",22,1977-07-08,NA,NA,"Affluent Customer","No",10
"Elset","F",46,"3635",51,1977-07-06,"VP Marketing","Retail","High Net Worth","No",9
"Rosalia Skedge","F",46,"3918",52,1977-07-05,"Junior Executive",NA,"High Net Worth","No",18
"Sophie Druhan","F",46,"3812",91,1977-07-04,"VP Product Management","Retail","Mass Customer","Yes",12
"Jermayne Hryniewicki","M",46,"1137",46,1977-07-03,"Business Systems Development Analyst",NA,"Mass Customer","No",18
"Sonia Rous","F",46,"1533",59,1977-07-02,"Social Worker","Health","Affluent Customer","Yes",8
"Otes Gottelier","M",46,"1834",84,1977-06-30,"Director of Sales","Financial Services","High Net Worth","Yes",11
"Freddi Arrington","F",46,"2904",26,1977-06-30,"Software Test Engineer III","Manufacturing","High Net Worth","Yes",11
"Hercule","M",46,"1129",2,1977-06-29,"VP Marketing","Entertainment","Mass Customer","Yes",9
"Dionysus McCarlie","M",46,"3472",10,1977-06-27,"VP Marketing","Retail","Affluent Customer","Yes",18
"Garrek Grimwade","M",46,"923",44,1977-06-26,"Senior Financial Analyst","Financial Services","High Net Worth","No",19
"Hersch Gilkes","M",46,"3345",83,1977-06-23,NA,"Financial Services","High Net Worth","No",12
"Maynard Isaq","M",46,"3669",11,1977-06-18,"Design Engineer","Manufacturing","Affluent Customer","No",18
"Eldridge Fiddeman","M",46,"133",12,1977-06-13,"VP Accounting","Financial Services","Mass Customer","Yes",16
"Thornie Andrusov","M",46,"1064",3,1977-06-13,"Librarian","Entertainment","Affluent Customer","Yes",8
"Henrieta MacClancey","F",46,"501",94,1977-06-10,"Environmental Specialist",NA,"High Net Worth","No",19
"Jaime Dikelin","F",46,"2839",12,1977-06-07,"Assistant Media Planner","Entertainment","Mass Customer","No",10
"Roanne Cowthard","F",46,"394",70,1977-06-06,"Legal Assistant","Health","High Net Worth","Yes",16
"Kimball Scutter","M",46,"2944",45,1977-06-05,"Environmental Specialist","Manufacturing","Affluent Customer","No",7
"Berne Donegan","M",46,"402",9,1977-06-03,"Desktop Support Technician","Retail","Affluent Customer","No",22
"Brantley Cecchi","M",46,"1186",70,1977-05-28,"Help Desk Operator","Manufacturing","Affluent Customer","Yes",20
"Borden Wooles","M",46,"1876",16,1977-05-28,"Recruiting Manager","Financial Services","Affluent Customer","No",21
"Ernesta Billany","F",46,"1613",18,1977-05-25,NA,"Property","Mass Customer","No",19
"Rebekah Dmych","F",46,"861",73,1977-05-24,"Senior Financial Analyst","Financial Services","High Net Worth","No",17
